root,adaptation,budget_queries,method,selected_idx,hf_queries,hf_episode_cost,hf_native_environment_steps,hf_native_agent_steps,hf_native_episode_compute_seconds,selected_audit_gain,empirical_oracle_regret,queries,selected_distribution,allocation_mc_se_gain
328,4,4,uniform_v2,6,4,72,21575.0,136119.0,232.2940944021102,19.09579204413471,0.0,"[2, 6, 3, 4]",,
328,4,4,ivr_v2,6,4,72,21514.0,137862.0,235.14303644094616,19.09579204413471,0.0,"[5, 4, 1, 6]",,
328,4,4,lucb_v2,6,4,72,21514.0,137862.0,235.14303644094616,19.09579204413471,0.0,"[5, 4, 6, 1]",,
328,4,4,no_hf_v2,6,0,0,0.0,0.0,0.0,19.09579204413471,0.0,[],,
328,4,4,proxy_only,5,0,0,0.0,0.0,0.0,3.459538435117877,15.636253609016833,[],,
328,4,4,global_voi_heuristic,6,4,72,21547.0,138743.0,236.2701297000749,19.09579204413471,0.0,"[2, 3, 4, 1]",,
328,4,4,uniform_v2_expected_100,,4,72,21525.49,137424.2,234.43251037945737,19.095792044134715,-3.552713678800501e-15,,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",3.5706115939831736e-16
328,4,1,author_PIVOT_VOI_E5C,6,1,24,7172.0,47427.0,80.42308385297656,19.09579204413471,0.0,[1],,
328,4,1,author_GlobalVOI_E5C,6,1,24,7175.0,45517.0,77.08361450501252,19.09579204413471,0.0,[3],,
328,4,1,author_Uniform_E5C,5,1,24,7175.0,45517.0,77.08361450501252,3.459538435117877,15.636253609016833,[3],,
328,4,1,author_LUCB_E5C,5,1,24,7200.0,44803.0,76.44704855501186,3.459538435117877,15.636253609016833,[6],,
328,4,2,author_PIVOT_VOI_E5C,6,2,40,11972.0,77877.0,132.8741660140222,19.09579204413471,0.0,"[1, 2]",,
328,4,2,author_GlobalVOI_E5C,6,2,40,11975.0,76262.0,129.3301961600082,19.09579204413471,0.0,"[3, 4]",,
328,4,2,author_Uniform_E5C,5,2,40,11947.0,77548.0,131.5724658840336,3.459538435117877,15.636253609016833,"[3, 1]",,
328,4,2,author_LUCB_E5C,4,2,40,11942.0,75086.0,128.4076034069294,2.656479276784788,16.439312767349925,"[6, 5]",,
328,4,4,author_PIVOT_VOI_E5C,6,4,72,21547.0,138743.0,236.2701297000749,19.09579204413471,0.0,"[1, 2, 3, 4]",,
328,4,4,author_GlobalVOI_E5C,6,4,72,21547.0,138743.0,236.2701297000749,19.09579204413471,0.0,"[3, 4, 2, 1]",,
328,4,4,author_Uniform_E5C,2,4,72,21489.0,138281.0,235.98410289699677,-0.07834108094635006,19.174133125081063,"[3, 1, 2, 5]",,
328,4,4,author_LUCB_E5C,2,4,72,21517.0,135952.0,231.80356709298212,-0.07834108094635006,19.174133125081063,"[6, 5, 4, 3]",,
328,12,1,pivot_kg,6,1,56,16710.0,106893.0,182.48549595469376,12.051129623318687,6.8457626315215805,[5],,
328,12,1,uniform_v2,6,1,56,16707.0,108075.0,184.1780595710734,12.051129623318687,6.8457626315215805,[2],,
328,12,1,ivr_v2,6,1,56,16710.0,106893.0,182.48549595469376,12.051129623318687,6.8457626315215805,[5],,
328,12,1,lucb_v2,6,1,56,16710.0,106893.0,182.48549595469376,12.051129623318687,6.8457626315215805,[5],,
328,12,1,no_hf_v2,6,0,0,0.0,0.0,0.0,12.051129623318687,6.8457626315215805,[],,
