CISR,CISR_ci_high,CISR_ci_low,CISR_cumulative_mean,CTI,CTI_ci_high,CTI_ci_low,CTI_cumulative_mean,environment_id,frozen_external_null,method,round,seed_n,source_status
,0.0,0.0,0.0,,-0.009351867185589058,-0.021338197538794155,-0.015298665111730395,performative_control,False,all_hf,23,30,
,0.0,0.0,0.0,,-0.009031183164440812,-0.020785091276152756,-0.014928743281551728,performative_control,False,all_hf,24,30,
,0.0,0.0,0.0,,-0.009345635306122743,-0.021288215132339895,-0.015222933792917536,performative_control,False,all_hf,25,30,
,0.0,0.0,0.0,,-0.008690353417162702,-0.020095964643506693,-0.014267459660488169,performative_control,False,all_hf,26,30,
,0.0,0.0,0.0,,-0.006475508370332565,-0.018793758385298665,-0.012556687425576278,performative_control,False,all_hf,27,30,
,0.0,0.0,0.0,,-0.007472239502292478,-0.01948499819045823,-0.013397839786186227,performative_control,False,all_hf,28,30,
,0.0,0.0,0.0,,-0.006139802944191001,-0.019286226263693695,-0.012622006371436586,performative_control,False,all_hf,29,30,
,0.0,0.0,0.0,,-0.007163748194735715,-0.020360467356170406,-0.013720706544638485,performative_control,False,all_hf,30,30,
,0.0,0.0,0.0,,-0.005088255181840042,-0.017530992433351853,-0.011291184101419723,performative_control,False,all_hf,31,30,
,0.0,0.0,0.0,,-0.0073277851283053445,-0.020556351913092064,-0.01381059730861285,performative_control,False,all_hf,32,30,
,0.0,0.0,0.0,,-0.004994416384147958,-0.018414197541623396,-0.011741775602152405,performative_control,False,all_hf,33,30,
,0.0,0.0,0.0,,-0.007193947844477601,-0.021090304338901078,-0.014042289675731552,performative_control,False,all_hf,34,30,
,0.0,0.0,0.0,,-0.0041749691703718795,-0.017185702850332774,-0.010649062642905383,performative_control,False,all_hf,35,30,
,0.0,0.0,0.0,,-0.00653316857578648,-0.020318637196722198,-0.013269380682841418,performative_control,False,all_hf,36,30,
,0.0,0.0,0.0,,-0.004782649068819972,-0.017833210937533255,-0.011175536365466525,performative_control,False,all_hf,37,30,
,0.0,0.0,0.0,,-0.006071650758524538,-0.01940515153843322,-0.012561913114411124,performative_control,False,all_hf,38,30,
,0.0,0.0,0.0,,-0.0031013368877372137,-0.017579182583838022,-0.010277404981537251,performative_control,False,all_hf,39,30,
,0.0,0.0,0.0,,0.07547234322621972,0.07204639741882377,0.07372724819602845,congestion_resource,False,proxy_only,0,30,
,3.5772671853173676e-05,0.0,1.1924223951057892e-05,,0.15118721476939062,0.1453010578342942,0.1482648993372712,congestion_resource,False,proxy_only,1,30,
,3.5772671853173676e-05,0.0,1.1924223951057892e-05,,0.22626691180667086,0.21937138037903905,0.22276929694360623,congestion_resource,False,proxy_only,2,30,
,3.5772671853173676e-05,0.0,1.1924223951057892e-05,,0.3014532607331926,0.2938468102088946,0.2976248483221801,congestion_resource,False,proxy_only,3,30,
,3.628976069595483e-05,0.0,1.2182768372448471e-05,,0.37497613387730033,0.36735993227228925,0.37120356180351,congestion_resource,False,proxy_only,4,30,
,3.628976069595483e-05,0.0,1.2182768372448471e-05,,0.44786507172621026,0.4382149389054845,0.44302002816650116,congestion_resource,False,proxy_only,5,30,
,0.00014361901102760274,1.4928688911945246e-05,7.052204520897609e-05,,0.4013139897137931,0.39072821070831126,0.39609328097308943,congestion_resource,False,proxy_only,6,30,
,0.00021854671560641263,2.9845153949263717e-05,0.00011312300691072401,,0.47493288962464447,0.4635355616735061,0.4692104227475762,congestion_resource,False,proxy_only,7,30,
,0.00021854671560641263,2.9845153949263717e-05,0.00011312300691072401,,0.43141759202414753,0.41431719630008584,0.4226991281983192,congestion_resource,False,proxy_only,8,30,
,0.0006165760291870457,9.835305340916487e-05,0.0003256920944796497,,0.49023083957938296,0.4598251947281207,0.476042672293873,congestion_resource,False,proxy_only,9,30,
,0.0006191847649711675,0.00010167844034009518,0.00032968294240476315,,0.4598901380456741,0.43596978735251757,0.4476116476506548,congestion_resource,False,proxy_only,10,30,
